frame,stage,det_index,matched,selected_track_id,best_track_id,appearance_cost,position_cost,path_cost,final_cost,x1,y1,w,h,bev_x,bev_y
2,primary,0,1,5,5,0.023178,0.009308,0.000000,0.012520,1285.10,762.30,344.61,133.80,1390.891048,841.524554
2,primary,1,1,4,4,0.036166,0.011339,0.000000,0.019217,2151.67,753.01,111.78,82.96,1413.919180,1112.841724
2,primary,2,1,9,9,0.027815,0.016410,0.000000,0.015549,1913.35,828.45,143.01,72.67,1379.708456,1033.667482
2,primary,3,1,11,11,0.027544,0.000155,0.000000,0.013787,1234.43,878.03,133.66,66.11,1364.729732,788.112699
2,primary,4,1,1,1,0.025716,0.000013,0.000000,0.012859,2827.73,803.24,159.97,83.36,1374.940750,1322.328650
2,primary,5,1,2,2,0.024649,0.000042,0.000000,0.012329,2847.97,675.98,81.94,84.50,1445.818542,1345.579800
2,primary,6,1,3,3,0.046082,0.000003,0.000000,0.023041,2774.91,658.36,68.71,91.34,1454.301002,1323.431985
2,primary,7,1,6,6,0.031203,0.022821,0.000000,0.017884,137.71,689.18,68.55,45.82,1557.058429,122.227712
2,primary,8,1,7,7,0.024948,0.000079,0.000000,0.012482,2937.25,698.27,77.90,81.80,1432.249750,1366.988722
2,primary,9,1,23,23,0.042378,0.000549,0.000000,0.021244,2672.81,257.69,303.89,139.85,1752.254667,1441.730917
2,primary,10,1,10,10,0.024230,0.000813,0.000000,0.012197,2482.18,587.57,100.66,62.07,1531.786489,1252.410606
2,primary,11,1,14,14,0.025156,0.000125,0.000000,0.012591,1066.00,926.66,90.52,59.92,1342.950685,722.310014
2,primary,12,1,12,12,0.028766,0.001788,0.000000,0.014562,2537.60,619.54,87.64,61.51,1506.759608,1263.291050
2,primary,13,1,27,27,0.033730,0.013418,0.000000,0.018207,1262.10,939.29,124.66,70.80,1328.199521,806.992827
2,primary,14,1,20,20,0.036087,0.021352,0.000000,0.020179,2463.88,550.77,96.30,61.22,1562.420051,1252.721489
2,primary,15,1,8,8,0.021289,0.016976,0.000000,0.012342,299.14,658.80,72.55,43.51,1582.406856,199.168617
2,primary,16,1,16,16,0.024147,0.000396,0.000000,0.012113,2714.51,651.15,45.56,80.34,1467.707116,1304.669049
2,primary,17,1,15,15,0.029134,0.000680,0.000000,0.014635,2479.00,462.75,53.98,66.32,1635.890741,1269.195920
2,primary,18,1,19,19,0.025594,0.000055,0.000000,0.012802,590.86,889.48,77.34,45.05,1380.688902,502.026184
2,primary,19,1,17,17,0.015072,0.003925,0.000000,0.007928,2603.16,417.16,74.46,56.29,1682.891598,1338.695282
2,primary,20,1,24,24,0.036187,0.000222,0.000000,0.018116,459.39,833.62,99.90,51.35,1416.786119,421.350160
2,primary,21,1,32,32,0.024436,0.001785,0.000000,0.012397,902.00,861.23,112.87,52.13,1388.665111,641.051020
2,primary,22,1,13,13,0.033269,0.000099,0.000000,0.016645,2603.72,591.24,119.81,124.57,1480.051237,1283.944598
2,primary,23,1,18,18,0.028142,0.087420,0.000000,0.022813,86.23,667.13,63.70,34.13,1596.115170,51.564384
2,primary,24,1,28,28,0.025213,0.006432,0.000000,0.013250,2478.21,366.37,62.22,48.18,1757.342045,1301.803520
2,primary,25,1,22,22,0.024651,0.021632,0.000000,0.014489,2652.47,449.59,93.40,57.11,1646.470298,1351.311096
2,primary,26,1,35,35,0.024265,0.000531,0.000000,0.012185,457.25,877.00,66.17,52.95,1386.100735,434.589829
2,primary,27,1,29,29,0.038121,0.007205,0.000000,0.019781,2529.02,377.25,71.69,57.95,1729.191368,1319.498812
2,primary,28,1,21,21,0.045058,0.021316,0.000000,0.024661,1084.01,867.75,78.16,56.26,1379.288777,713.155308
2,primary,29,1,50,50,0.031979,0.001312,0.000000,0.016121,954.62,915.11,89.28,48.75,1357.224200,672.198981
2,primary,30,1,48,48,0.026307,0.000280,0.000000,0.013181,2682.38,517.56,61.89,53.13,1588.181306,1337.349480
2,primary,31,1,25,25,0.035298,0.053928,0.000000,0.023042,1.46,691.60,72.41,44.16,1563.249502,32.783844
2,primary,32,1,30,30,0.019337,0.000067,0.000000,0.009675,2684.40,464.84,67.54,55.16,1632.925826,1354.377642
2,primary,33,1,34,34,0.017942,0.002050,0.000000,0.009176,2569.95,395.68,67.14,50.45,1714.276830,1332.311123
2,primary,34,1,31,31,0.017221,0.002095,0.000000,0.008820,2610.43,569.24,71.59,55.74,1546.692606,1298.744041
2,primary,35,1,33,33,0.029435,0.001674,0.000000,0.014885,2114.54,556.71,46.10,71.11,1564.980253,1104.243001
2,primary,36,1,26,26,0.049611,0.040079,0.000000,0.028813,2108.39,438.47,52.61,113.93,1634.048870,1110.063731
2,primary,37,1,36,36,0.028876,0.001660,0.000000,0.014604,334.64,878.81,77.01,46.51,1391.374600,375.022674
